,X,Y,Z,time,trace
4961,3265710.409619968,-101191.96441854347,2000.0,31777.0,4
4962,3268532.4335867115,-101217.15627496198,2000.0,31787.0,4
4963,3271368.3442599364,-101230.59449488582,2000.0,31797.0,4
4964,3274197.3288366133,-101271.85300667246,2000.0,31807.0,4
4965,3279717.8614501846,-100118.29110364638,2000.0,31827.0,4
4966,3282481.4494530186,-99536.8095442428,2000.0,31837.0,4
4967,3285250.995135326,-98966.4853783845,2000.0,31847.0,4
4968,3288028.6849785713,-98392.35741852962,2000.0,31857.0,4
4969,3293556.339461511,-97239.33325276627,2000.0,31877.0,4
4970,3299089.2450749604,-96090.0747095712,2000.0,31897.0,4
4971,3301818.7817255612,-95533.09862133866,2000.0,31907.0,4
4972,3304547.6246386277,-94961.64734412289,2000.0,31917.0,4
4973,3310012.0704726255,-93830.91926909395,2000.0,31937.0,4
4974,3312744.767519661,-93257.19662454765,2000.0,31947.0,4
4975,3318202.483013304,-92119.15871132868,2000.0,31967.0,4
4976,3320936.161277083,-91546.10702221947,2000.0,31977.0,4
4977,3323659.6162573393,-90970.76266420104,2000.0,31987.0,4
4978,3326388.1780010066,-90412.82830040401,2000.0,31997.0,4
4979,3329126.9695485625,-89853.60989035168,2000.0,32007.0,4
4980,3331868.236369612,-89275.51570985909,2000.0,32017.0,4
4981,3334577.3083218853,-88714.8136397781,2000.0,32027.0,4
4982,3337310.5568704326,-88144.34517653577,2000.0,32037.0,4
4983,3340051.3879269133,-87577.74386276411,2000.0,32047.0,4
4984,3342680.374346542,-86661.21301181325,2000.0,32057.0,4
4985,3347956.907336374,-84851.96060146469,2000.0,32077.0,4
4986,3353242.1271807705,-83051.83885551334,2000.0,32097.0,4
4987,3355880.178892089,-82138.32825497135,2000.0,32107.0,4
4988,3358483.429150245,-81231.60155417197,2000.0,32117.0,4
4989,3363720.978805984,-79451.00760134627,2000.0,32137.0,4
4990,3366336.2273483127,-78541.50685844343,2000.0,32147.0,4
4991,3368932.34632295,-77649.78146982501,2000.0,32157.0,4
4992,3371564.2191782086,-76752.10300778471,2000.0,32167.0,4
4993,3374173.05228254,-75849.37336609124,2000.0,32177.0,4
4994,3376782.086386964,-74962.92879500407,2000.0,32187.0,4
4995,3379393.678198329,-74048.90058550311,2000.0,32197.0,4
4996,3382017.605116135,-73155.2121459884,2000.0,32207.0,4
4997,3384625.383438022,-72255.80420909746,2000.0,32217.0,4
4998,3387236.487746849,-71356.86621629677,2000.0,32227.0,4
4999,3389842.745510861,-70453.63574960284,2000.0,32237.0,4
5000,3392465.8125828146,-69565.58093825995,2000.0,32247.0,4
5001,3397680.3669618145,-67772.82160954042,2000.0,32267.0,4
5002,3400314.170782714,-66865.88810835044,2000.0,32277.0,4
5003,3402923.1636918467,-65975.76175735166,2000.0,32287.0,4
5004,3405673.108865592,-65688.76006024606,2000.0,32297.0,4
5005,3408415.2955941036,-65401.18233563452,2000.0,32307.0,4
5006,3411161.6945537473,-65120.82624034183,2000.0,32317.0,4
5007,3413907.5870021107,-64833.282488038385,2000.0,32327.0,4
5008,3416661.077627071,-64542.37640377984,2000.0,32337.0,4
5009,3419409.0280479863,-64248.695722109165,2000.0,32347.0,4
5010,3422160.667924797,-63964.619523958834,2000.0,32357.0,4
5011,3424903.607186362,-63665.813816437505,2000.0,32367.0,4
5012,3427658.031627043,-63386.51620734113,2000.0,32377.0,4
5013,3430397.132407923,-63097.707220149794,2000.0,32387.0,4
5014,3433146.374707639,-62804.512562050535,2000.0,32397.0,4
5015,3438693.48232403,-62233.071357074456,2000.0,32417.0,4
5016,3447086.3297953503,-61359.08475000412,2000.0,32447.0,4
5017,3449902.6358720474,-61067.92591134749,2000.0,32457.0,4
5018,3452693.7526096255,-60768.4074301728,2000.0,32467.0,4
5019,3455496.9908760795,-60483.59315491894,2000.0,32477.0,4
5020,3458291.550727389,-60178.69370941508,2000.0,32487.0,4
5021,3461106.578530965,-59881.78574723966,2000.0,32497.0,4
5022,3463901.6519369674,-59602.99118829832,2000.0,32507.0,4
5023,3466698.101144778,-59303.53196748845,2000.0,32517.0,4
5024,3469501.0347626726,-59017.233951110036,2000.0,32527.0,4
5025,3469501.0347626726,-59017.233951110036,2000.0,32527.0,4
5026,3472322.7030974776,-58708.75434005876,2000.0,32537.0,4
5027,3475128.485363673,-58428.3322822607,2000.0,32547.0,4
5028,3483551.0813418236,-57538.99605888762,2000.0,32577.0,4
5029,3486374.2127742884,-57243.7183654699,2000.0,32587.0,4
5030,3491981.0599098355,-56667.07010442651,2000.0,32607.0,4
5031,3494799.2826327737,-56356.2918845962,2000.0,32617.0,4
5032,3500429.7957197437,-56089.813515860515,2000.0,32637.0,4
5033,3503250.210515898,-56114.91094451062,2000.0,32647.0,4
5034,3508900.524343285,-56175.13057903264,2000.0,32667.0,4
5035,3511728.351096049,-56185.05575038476,2000.0,32677.0,4
5036,3514558.6319123604,-56225.158699988046,2000.0,32687.0,4
5037,3517380.883544983,-56230.493776242714,2000.0,32697.0,4
5038,3520207.7137196693,-56264.43485941326,2000.0,32707.0,4
5039,3525845.7152423146,-56309.39268063175,2000.0,32727.0,4
5040,3528682.3931132457,-56325.337150217776,2000.0,32737.0,4
5041,3531497.829239386,-56352.5646447034,2000.0,32747.0,4
5042,3534311.9638823704,-56376.59053588333,2000.0,32757.0,4
5043,3537113.584883557,-56395.68351080529,2000.0,32767.0,4
5044,3539912.4083070047,-56432.57247785926,2000.0,32777.0,4
5045,3542731.9416777156,-56446.53699733191,2000.0,32787.0,4
5046,3545540.8387622805,-56470.557035688216,2000.0,32797.0,4
5047,3548335.6942767827,-56490.105407182404,2000.0,32807.0,4
5048,3551139.513339876,-56522.71192617766,2000.0,32817.0,4
5049,3553957.1255847253,-56554.889739106446,2000.0,32827.0,4
5050,3556756.3295886046,-56558.05160115575,2000.0,32837.0,4
5051,3559559.8583100922,-56600.11914737415,2000.0,32847.0,4
5052,3562375.4581516846,-56619.390251489676,2000.0,32857.0,4
5053,3567983.2377609652,-56654.38618947811,2000.0,32877.0,4
5054,3570791.1374733564,-56683.233053369506,2000.0,32887.0,4
5055,3573590.1773286336,-56714.13366032243,2000.0,32897.0,4
5056,3576400.771881311,-56732.5691063505,2000.0,32907.0,4
5057,3579207.6947529097,-56758.02606779043,2000.0,32917.0,4
5058,3582026.9619999584,-56778.69938500297,2000.0,32927.0,4
5059,3584834.7164985524,-56804.97971176408,2000.0,32937.0,4
5060,3587631.516003478,-56831.098740731686,2000.0,32947.0,4
5061,3590434.886860929,-56852.25794114758,2000.0,32957.0,4
5062,3593242.7861426366,-56883.44545316292,2000.0,32967.0,4
5063,3596007.9703102275,-56891.55713828978,2000.0,32977.0,4
5064,3598775.9406408696,-56917.93083428156,2000.0,32987.0,4
5065,3601530.0219998946,-56936.896033697325,2000.0,32997.0,4
5066,3604266.0639317813,-56506.44491405339,2000.0,33007.0,4
5067,3606991.937861141,-56043.55765003861,2000.0,33017.0,4
5068,3609758.806858417,-55575.790185441685,2000.0,33027.0,4
5069,3612537.8068835596,-55110.34180550791,2000.0,33037.0,4
5070,3615315.1290259636,-54667.197485392004,2000.0,33047.0,4
5071,3618084.1468434725,-54201.72640775204,2000.0,33057.0,4
5072,3620861.021474814,-53739.59094398315,2000.0,33067.0,4
5073,3623689.7658916605,-53797.26344110678,2000.0,33077.0,4
5074,3626495.108940807,-53840.2763313268,2000.0,33087.0,4
5075,3629311.1499397177,-53896.16173087281,2000.0,33097.0,4
5076,3632127.3865537248,-54177.14134743238,2000.0,33107.0,4
5077,3634917.3964900174,-54454.34420676742,2000.0,33117.0,4
5078,3637709.2036444,-54743.78153297243,2000.0,33127.0,4
5079,3640514.0872675446,-55012.230895669214,2000.0,33137.0,4
5080,3648841.4869838282,-54169.887748737725,2000.0,33167.0,4
5081,3651605.424323326,-53612.85225987669,2000.0,33177.0,4
5082,3654343.1043759338,-53049.11429659397,2000.0,33187.0,4
5083,3657093.4971611416,-52495.574739042524,2000.0,33197.0,4
5084,3659857.99356688,-51934.541679480346,2000.0,33207.0,4
5085,3662598.424214974,-51377.24532088549,2000.0,33217.0,4
5086,3665363.1380335786,-50813.53772814642,2000.0,33227.0,4
5087,3668135.9887429797,-50252.53420225216,2000.0,33237.0,4
5088,3670899.490794279,-49684.23690879489,2000.0,33247.0,4
5089,3676443.41138195,-48562.14906684661,2000.0,33267.0,4
5090,3679214.194539923,-47999.757649953026,2000.0,33277.0,4
5091,3681962.3413215308,-47446.607566134946,2000.0,33287.0,4
5092,3684715.9349522833,-46887.216191206906,2000.0,33297.0,4
5093,3687476.9282449395,-46328.811555549604,2000.0,33307.0,4
5094,3692988.0460067964,-45205.97846610236,2000.0,33327.0,4
5095,3695746.6987019544,-44646.01871943285,2000.0,33337.0,4
5096,3698495.1623602076,-44097.19848890773,2000.0,33347.0,4
5097,3701256.9092035578,-43525.34036423649,2000.0,33357.0,4
5098,3704015.040888172,-42962.05528663057,2000.0,33367.0,4
5099,3706778.7855985416,-42395.16461528433,2000.0,33377.0,4
5100,3709555.9453894715,-41836.43895839906,2000.0,33387.0,4
5101,3712287.4306250634,-41290.10712692639,2000.0,33397.0,4
5102,3715032.360358329,-40729.07249214144,2000.0,33407.0,4
5103,3717763.1619691662,-40171.661169281964,2000.0,33417.0,4
5104,3720502.348065534,-39625.71637043861,2000.0,33427.0,4
5105,3723230.3487415533,-39061.97670113859,2000.0,33437.0,4
5106,3725972.1160816574,-38521.141854217916,2000.0,33447.0,4
5107,3728699.0938997855,-37950.736144899434,2000.0,33457.0,4
5108,3731433.012537032,-37404.96855487937,2000.0,33467.0,4
5109,3736923.867150404,-36293.55073415943,2000.0,33487.0,4
5110,3742395.658074831,-35177.3814184867,2000.0,33507.0,4
5111,3750595.406489443,-33504.0305228548,2000.0,33537.0,4
5112,3753328.267587005,-32948.46027208538,2000.0,33547.0,4
5113,3756078.308024208,-32394.844322118224,2000.0,33557.0,4
5114,3758841.083455875,-31837.111611594584,2000.0,33567.0,4
5115,3761612.176036235,-31281.126301693326,2000.0,33577.0,4
5116,3764329.7594884685,-30711.638679530206,2000.0,33587.0,4
5117,3769830.7704956443,-29833.11919222031,2000.0,33607.0,4
5118,3772573.6338264644,-29388.762777921893,2000.0,33617.0,4
5119,3775310.5005332613,-28937.17328744464,2000.0,33627.0,4
5120,3778054.900135132,-28490.20016658355,2000.0,33637.0,4
5121,3783608.517909675,-29027.857273601312,2000.0,33657.0,4
5122,3786372.7032844797,-29203.63553966359,2000.0,33667.0,4
5123,3788977.432499932,-30168.404877803692,2000.0,33677.0,4
5124,3794499.442328093,-30807.74974781878,2000.0,33697.0,4
5125,3797266.365972376,-31129.367157793942,2000.0,33707.0,4
5126,3800037.045501133,-31453.590443479636,2000.0,33717.0,4
5127,3802800.6165308207,-31775.69942173533,2000.0,33727.0,4
5128,3805546.3212786163,-32106.48703321845,2000.0,33737.0,4
5129,3808361.1248970125,-32435.605584696194,2000.0,33747.0,4
5130,3811173.0381629085,-32767.76069257972,2000.0,33757.0,4
5131,3813984.9729057597,-33078.89129291459,2000.0,33767.0,4
5132,3816782.1448051324,-33423.03612014144,2000.0,33777.0,4
5133,3819578.976451739,-33747.36254919069,2000.0,33787.0,4
5134,3822388.3380202297,-34062.798570533894,2000.0,33797.0,4
